epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,578.975,0.9633,0.49096,0.87254,0.88755,0.85836,0.89562,0.58806,0.89052,0.531,0.74981,0.000416,0.000416,0.000416
82,586.107,0.95106,0.49307,0.87531,0.90937,0.83853,0.88901,0.61519,0.92746,0.61151,0.76463,0.0003962,0.0003962,0.0003962
83,593.309,0.92511,0.47965,0.86184,0.92101,0.8258,0.89143,0.61312,0.81614,0.4853,0.74467,0.0003764,0.0003764,0.0003764
84,600.449,0.94219,0.47808,0.87337,0.91865,0.83569,0.88542,0.60556,0.89768,0.55395,0.7557,0.0003566,0.0003566,0.0003566
85,607.591,0.92267,0.4824,0.86409,0.91892,0.83478,0.89499,0.59845,0.94147,0.61391,0.7629,0.0003368,0.0003368,0.0003368
86,614.74,0.92405,0.47192,0.8677,0.89223,0.86969,0.9008,0.61008,0.89891,0.57032,0.75726,0.000317,0.000317,0.000317
87,621.868,0.92272,0.47599,0.87329,0.92233,0.82153,0.89366,0.59825,0.88472,0.54863,0.75207,0.0002972,0.0002972,0.0002972
88,629.032,0.90842,0.46059,0.85065,0.91372,0.83286,0.89143,0.60534,0.94539,0.57805,0.76323,0.0002774,0.0002774,0.0002774
89,636.162,0.88988,0.46863,0.85825,0.90746,0.84419,0.88926,0.61491,0.92767,0.62149,0.76215,0.0002576,0.0002576,0.0002576
90,643.283,0.89922,0.45468,0.86372,0.90135,0.85552,0.89469,0.61431,1.00544,0.61948,0.77565,0.0002378,0.0002378,0.0002378
91,650.859,0.91732,0.4587,0.86139,0.88723,0.86921,0.8906,0.61424,0.95309,0.60645,0.76771,0.000218,0.000218,0.000218
92,657.975,0.89782,0.44437,0.8586,0.91071,0.84703,0.89535,0.61884,0.89953,0.55261,0.7613,0.0001982,0.0001982,0.0001982
93,665.132,0.87572,0.43323,0.85842,0.91416,0.84468,0.89575,0.61614,0.90387,0.57595,0.76185,0.0001784,0.0001784,0.0001784
94,672.22,0.88591,0.43052,0.8587,0.91967,0.83569,0.88939,0.61741,0.8891,0.55592,0.75971,0.0001586,0.0001586,0.0001586
95,679.363,0.87472,0.43485,0.85429,0.93862,0.82311,0.89302,0.62102,0.85345,0.51452,0.75161,0.0001388,0.0001388,0.0001388
96,686.46,0.87741,0.43326,0.85987,0.92423,0.82936,0.89323,0.62195,0.85723,0.54632,0.75272,0.000119,0.000119,0.000119
97,693.555,0.88388,0.4359,0.85725,0.92967,0.82387,0.89604,0.61745,0.8904,0.54525,0.75594,9.92e-05,9.92e-05,9.92e-05
98,700.638,0.85123,0.42634,0.85118,0.93514,0.82436,0.89087,0.62436,0.84931,0.52784,0.75109,7.94e-05,7.94e-05,7.94e-05
99,707.725,0.8526,0.42222,0.84765,0.94148,0.82036,0.89301,0.62168,0.84942,0.53301,0.74987,5.96e-05,5.96e-05,5.96e-05
100,714.815,0.85235,0.42183,0.85182,0.91012,0.83003,0.89423,0.61819,0.90264,0.58607,0.76015,3.98e-05,3.98e-05,3.98e-05
