epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,496.773,0.84667,0.57447,0.82649,0.90152,0.76329,0.84871,0.58928,0.80183,0.63601,0.71173,0.00013072,0.00013072,0.00013072
70,503.945,0.85686,0.5571,0.84061,0.89001,0.77281,0.83858,0.56972,0.78224,0.59137,0.71145,0.00012676,0.00012676,0.00012676
71,511.111,0.85969,0.56425,0.82512,0.88013,0.7811,0.83623,0.56817,0.76757,0.55561,0.7093,0.0001228,0.0001228,0.0001228
72,518.316,0.83432,0.55192,0.84113,0.88558,0.76124,0.84759,0.57114,0.77167,0.56818,0.71128,0.00011884,0.00011884,0.00011884
73,525.51,0.81926,0.54684,0.82474,0.89917,0.77587,0.84984,0.58408,0.758,0.60393,0.70928,0.00011488,0.00011488,0.00011488
74,532.72,0.84159,0.53758,0.83393,0.88797,0.77967,0.84706,0.58853,0.78795,0.58996,0.71024,0.00011092,0.00011092,0.00011092
75,539.881,0.8173,0.5398,0.82934,0.88751,0.78502,0.84397,0.58828,0.76162,0.56933,0.7082,0.00010696,0.00010696,0.00010696
76,547.081,0.8281,0.54398,0.83983,0.89079,0.78375,0.85559,0.59982,0.78789,0.63159,0.71251,0.000103,0.000103,0.000103
77,554.278,0.83426,0.53453,0.82963,0.89588,0.78514,0.85258,0.58708,0.79495,0.61813,0.71368,9.904e-05,9.904e-05,9.904e-05
78,561.434,0.81183,0.52479,0.83026,0.87024,0.7832,0.85065,0.60116,0.8095,0.67928,0.71484,9.508e-05,9.508e-05,9.508e-05
79,568.655,0.79719,0.52088,0.83132,0.88112,0.77659,0.84681,0.58842,0.7932,0.62834,0.71054,9.112e-05,9.112e-05,9.112e-05
80,575.839,0.80812,0.52466,0.82709,0.8912,0.77814,0.85445,0.59799,0.7977,0.6447,0.71257,8.716e-05,8.716e-05,8.716e-05
81,583.056,0.81099,0.5319,0.82286,0.90123,0.80627,0.87295,0.60839,0.80944,0.59865,0.71574,8.32e-05,8.32e-05,8.32e-05
82,590.238,0.81168,0.52249,0.83239,0.87816,0.79846,0.8637,0.59106,0.77453,0.57174,0.70993,7.924e-05,7.924e-05,7.924e-05
83,597.448,0.80111,0.51859,0.82396,0.89713,0.80947,0.86249,0.60621,0.85211,0.65429,0.72009,7.528e-05,7.528e-05,7.528e-05
84,604.643,0.80214,0.51231,0.82755,0.88973,0.81215,0.86351,0.61059,0.77067,0.5627,0.71026,7.132e-05,7.132e-05,7.132e-05
85,611.861,0.79063,0.51378,0.82821,0.89571,0.81851,0.8609,0.60619,0.78158,0.58113,0.7124,6.736e-05,6.736e-05,6.736e-05
86,619.029,0.79789,0.51114,0.82145,0.89616,0.81859,0.86636,0.60355,0.80884,0.6416,0.71435,6.34e-05,6.34e-05,6.34e-05
87,626.198,0.81046,0.50882,0.82708,0.90347,0.80147,0.86187,0.60472,0.79535,0.60961,0.71194,5.944e-05,5.944e-05,5.944e-05
